VARNAMES: i SPECEFF
SPECEFF: 18.0 1.0
SPECEFF: 18.1 1.0
SPECEFF: 18.2 1.0
SPECEFF: 18.3 1.0
SPECEFF: 18.4 1.0
SPECEFF: 18.5 1.0
SPECEFF: 18.6 1.0
SPECEFF: 18.7 1.0
SPECEFF: 18.8 1.0
SPECEFF: 18.9 1.0
SPECEFF: 19.0 1.0
SPECEFF: 19.1 1.0
SPECEFF: 19.2 1.0
SPECEFF: 19.3 1.0
SPECEFF: 19.4 1.0
SPECEFF: 19.5 1.0
SPECEFF: 19.6 1.0
SPECEFF: 19.7 1.0
SPECEFF: 19.8 1.0
SPECEFF: 19.9 1.0
SPECEFF: 20.0 1.0
SPECEFF: 20.1 1.0
SPECEFF: 20.2 1.0
SPECEFF: 20.3 1.0
SPECEFF: 20.4 1.0
SPECEFF: 20.5 1.0
SPECEFF: 20.6 0.99
SPECEFF: 20.7 0.99
SPECEFF: 20.8 0.99
SPECEFF: 20.9 0.98
SPECEFF: 21.0 0.97
SPECEFF: 21.1 0.96
SPECEFF: 21.2 0.94
SPECEFF: 21.3 0.92
SPECEFF: 21.4 0.89
SPECEFF: 21.5 0.85
SPECEFF: 21.6 0.8
SPECEFF: 21.7 0.74
SPECEFF: 21.8 0.67
SPECEFF: 21.9 0.6
SPECEFF: 22.0 0.52
SPECEFF: 22.1 0.43
SPECEFF: 22.2 0.36
SPECEFF: 22.3 0.29
SPECEFF: 22.4 0.22
SPECEFF: 22.5 0.17
SPECEFF: 22.6 0.13
SPECEFF: 22.7 0.1
SPECEFF: 22.8 0.07
SPECEFF: 22.9 0.05
SPECEFF: 23.0 0.04
SPECEFF: 23.1 0.03
SPECEFF: 23.2 0.02
SPECEFF: 23.3 0.02
SPECEFF: 23.4 0.01
SPECEFF: 23.5 0.01
SPECEFF: 23.6 0.01
SPECEFF: 23.7 0.0
SPECEFF: 23.8 0.0
SPECEFF: 23.9 0.0
SPECEFF: 24.0 0.0
SPECEFF: 24.1 0.0
SPECEFF: 24.2 0.0
SPECEFF: 24.3 0.0
SPECEFF: 24.4 0.0
SPECEFF: 24.5 0.0
SPECEFF: 24.6 0.0
SPECEFF: 24.7 0.0
SPECEFF: 24.8 0.0
SPECEFF: 24.9 0.0
SPECEFF: 25.0 0.0
SPECEFF: 25.1 0.0
SPECEFF: 25.2 0.0
SPECEFF: 25.3 0.0
SPECEFF: 25.4 0.0
SPECEFF: 25.5 0.0
SPECEFF: 25.6 0.0
SPECEFF: 25.7 0.0
SPECEFF: 25.8 0.0
